sno,user_id,user_name,book_id,book_name,book_author,request_date,doi,dor
55,REPA0396,Zoey Rossi,UNIT4891,Manglish,Su Kim Lee,2022-09-25,2022-09-28,2022-10-05
56,REPA0184,Sebastian Müller,UNIM3420,Telling Tales: New One-Act Plays,Eric Lane,2022-09-26,2022-09-28,2022-10-05
57,REPA0530,Alexander Cohen,UNIW1720,The Roaring 2000s: Building The Wealth And Lifestyle You Desire In The Greatest Boom In History,Harry S. Dent,2022-09-27,2022-09-28,2022-10-05
58,REPA0478,Riley Lopez,UNIL4674,Treasure Island According to Spike Milligan,Spike Milligan,2022-09-26,2022-09-28,2022-10-05
59,REPA0047,Hannah Sharma,UNID9218,Hallelujah Crocodile: Blue Boogie for Ellen,Julie Stevens Manson,2022-09-28,2022-09-28,2022-10-05
60,REPA0217,Mia Tanaka,UNIL2035,Whole Wide World,Paul J. Mcauley,2022-09-26,2022-09-28,2022-10-05
61,REPA0395,Abigail Verma,UNIB3807,Miracle (Men at Work),Muriel Jensen,2022-09-28,2022-09-28,2022-10-05
62,REPA0402,Liam Cohen,UNIO5391,Chronicle of a Death Foretold,Gabriel Garcia Marquez,2022-09-25,2022-09-28,2022-10-05
63,REPA0514,Olivia Lee,UNIB3920,Peace Corps - The Great Adventure: Volunteer Stories of Life Overseas,Peace Corps,2022-09-26,2022-09-28,2022-10-05
64,REPA0045,Ella García,UNIT5608,The Druids (Pelican books),Stuart Piggott,2022-09-26,2022-09-28,2022-10-05
65,REPA0520,Mateo Silva,UNIX0545,Probability with Martingales (Cambridge Mathematical Textbooks),David Williams,2022-09-28,2022-09-28,2022-10-05
66,REPA0267,Emma O'Brien,UNIK4265,Ghost of a Chance: A Hollis Ball/Sam Wescott Mystery (Sam and Hollis Mystery),Helen Chappell,2022-09-25,2022-09-28,2022-10-05
67,REPA0279,Daniel Marino,UNIG3035,Downloaded: The Third Collection of the 5th Wave,Rich Tennant,2022-09-27,2022-09-28,2022-10-05
68,REPA0379,Riley García,UNIO8277,Lovers in Paradise,Barbara Cartland,2022-09-27,2022-09-29,2022-10-06
69,REPA0171,Evelyn Baker,UNIL6027,More About Paddington,Michael Bond,2022-09-29,2022-09-29,2022-10-06
70,REPA0173,Noah Müller,UNIE2069,Facing The Extreme : One Woman's Story Of True Courage And Death-Defying Survival In The Eye Of Mt. McKinley's Worst Storm Ever,Ruth Anne Kocour,2022-09-26,2022-09-29,2022-10-06
71,REPA0572,Ava Haddad,UNIC3964,Egon Schiele,Reinhard Steiner,2022-09-29,2022-09-29,2022-10-06
72,REPA0494,Olivia Dubois,UNIF4847,Die Reise zum Zauberberg.,Wolfgang Sewald,2022-09-26,2022-09-29,2022-10-06
73,REPA0431,Evelyn Verma,UNIH0250,The Amazing Panda Adventure/Movie Tie-In,Todd Strasser,2022-09-28,2022-09-29,2022-10-06
74,REPA0300,Hannah Choi,UNIM6087,Rolling Stone: The Photographs,Laurie Kratochvil,2022-09-26,2022-09-29,2022-10-06
75,REPA0197,Alexander Silva,UNID2367,A Bend in the River,V.S. Naipaul,2022-09-27,2022-09-29,2022-10-06
76,REPA0191,Riley Rossi,UNIH0013,Masters of Death: The SS-Einsatzgruppen and the Invention of the Holocaust,Richard Rhodes,2022-09-29,2022-09-29,2022-10-06
77,REPA0389,Ethan Haddad,UNIN0205,Crooked,Louisa Luna,2022-09-29,2022-09-29,2022-10-06
78,REPA0191,Riley Rossi,UNIL4525,The Case of the Musical Cow (Perry Mason Mysteries (House of Stratus)),Erle Stanley Gardner,2022-09-27,2022-09-29,2022-10-06
79,REPA0128,Daniel Tanaka,UNIU3598,The One Year Book of Hymns,Robert K. Brown,2022-09-26,2022-09-29,2022-10-06
80,REPA0222,Aiden García,UNIJ0318,Algorithms (Addison-Wesley series in computer science),Robert Sedgewick,2022-09-28,2022-09-29,2022-10-06
81,REPA0507,Sophia Dubois,UNIK6296,Metaplanetary: A Novel of Interplanetary Civil War,Tony Daniel,2022-09-29,2022-09-30,2022-10-07
82,REPA0425,Ethan Verma,UNIF8827,Yli uusien rantojen,Kimmo Lehtonen,2022-09-27,2022-09-30,2022-10-07
83,REPA0236,Hannah Patel,UNIC0410,O Pioneers! (Dover Thrift Editions),Willa Cather,2022-09-30,2022-09-30,2022-10-07
84,REPA0528,Ethan Patel,UNIH9362,The Time of Indifference : A Novel,Alberto Moravia,2022-09-27,2022-09-30,2022-10-07
85,REPA0226,Henry Singh,UNID2996,Vierfrauenhaus: Roman,Franz Rieger,2022-09-28,2022-09-30,2022-10-07
86,REPA0120,Ella Sharma,UNIV8966,Harlem Renaissance.,Nathan Irvin Huggins,2022-09-28,2022-09-30,2022-10-07
87,REPA0063,Jackson Baker,UNIL6440,Lily (Lily),Abigail Thomas,2022-09-30,2022-09-30,2022-10-07
88,REPA0582,Sofia Andersson,UNIN1286,Cyber Rules : Strategies for Excelling at E-Business,Thomas M. Siebel,2022-09-27,2022-09-30,2022-10-07
89,REPA0406,Grace Brown,UNIO3313,The Survivor: An Anatomy of Life in the Death Camps,Terrence. Des Pres,2022-09-27,2022-09-30,2022-10-07
90,REPA0345,Ethan Rossi,UNIN1578,Tanglewood Tales,Nathaniel Hawthorne,2022-09-30,2022-09-30,2022-10-07
91,REPA0572,Ava Haddad,UNIC5904,The Eagle's Conquest,Simon Scarrow,2022-09-29,2022-09-30,2022-10-07
92,REPA0492,Amelia Cohen,UNIC3520,The Cathedral Builders (Harper colophon books),Jean Gimpel,2022-09-27,2022-09-30,2022-10-07
93,REPA0225,Henry Kim,UNIH9065,Arthur! Arthur!: More comic sketches from the master's pen,Arthur Black,2022-09-29,2022-09-30,2022-10-07
94,REPA0102,Henry Nguyen,UNIG3251,World of a Thousand Colors,Robert Sclierberg,2022-09-30,2022-09-30,2022-10-07
95,REPA0249,Mateo Marino,UNIM9735,Changes,Danielle Steel,2022-09-28,2022-09-30,2022-10-07
96,REPA0581,Amir Al-Mansoori,UNIT7409,A History of Wales,John Davies,2022-09-27,2022-09-30,2022-10-07
97,REPA0352,Riley Singh,UNIV9418,The White Hole in Time: Our Future Evolution and the Meaning of Now,Peter Russell,2022-09-28,2022-10-01,2022-10-08
98,REPA0171,Evelyn Baker,UNIN2027,Twister (Robin Light Mystery),Barbara Block,2022-09-30,2022-10-01,2022-10-08
99,REPA0485,Ella Haddad,UNIK4698,Buffy the Vampire Slayer: Crash Test Demons,Andi Watson,2022-09-28,2022-10-01,2022-10-08
100,REPA0545,Noah García,UNIG4634,Justice Is Blind-And Her Dog Just Peed in My Cornflakes,Gordon Kirkland,2022-10-01,2022-10-01,2022-10-08
101,REPA0088,Liam Dubois,UNIW7347,Without Reservations: An Uncensored Unabashed Look at How People Behave in Hotels,Fred V. Alias,2022-09-30,2022-10-01,2022-10-08
102,REPA0437,James Choi,UNIC9257,Diario De Zlata,Zlata Filipovic,2022-09-29,2022-10-01,2022-10-08
103,REPA0160,Sophia Santos,UNIS3073,Bird: The Making of an American Sports Legend,Lee Daniel Levine,2022-09-29,2022-10-01,2022-10-08
104,REPA0227,James Ali,UNIS2935,Strange Irish Tales for Children,Edmund Lenihan,2022-09-28,2022-10-01,2022-10-08
105,REPA0575,Lucas Johnson,UNIU1255,White by Definition: Social Classification in Creole Louisianna,Virginia R. Dominguez,2022-09-30,2022-10-01,2022-10-08
106,REPA0221,Olivia Cohen,UNIE6119,Two-For-One Christmas Fun,Peter Landesman,2022-09-29,2022-10-01,2022-10-08
107,REPA0399,Logan Sharma,UNIR4615,Peace Of Mind Is A Blanket That Purrs : A Rose is Rose Â® Book (Rose Is Rose),Pat Brady,2022-10-01,2022-10-01,2022-10-08
108,REPA0574,Aiden Jensen,UNIF2086,A Step-By-Step Guide to Your Sewing Machine (Teach Yourself to Sew Better Series),Jan Saunders,2022-09-29,2022-10-01,2022-10-08
109,REPA0287,Abigail García,UNIH9572,Silent Witness: The True Story of a Psychic Detective,Nancy Myer,2022-10-01,2022-10-01,2022-10-08
110,REPA0032,Emma Sharma,UNID0603,Delaney's Desert Sheikh,Brenda Jackson,2022-09-30,2022-10-01,2022-10-08
111,REPA0193,Noah Ali,UNIP1526,Choices: Discover your 100 Most Important Life Choices,Shad Helmstetter,2022-09-29,2022-10-01,2022-10-08
112,REPA0306,Daniel Nguyen,UNIO1570,Dachshunds,Edita Van Der Lyn,2022-09-28,2022-10-01,2022-10-08
113,REPA0304,Hannah Smith,UNIP3916,You teach me gentle,Evelyn White Minshull,2022-09-28,2022-10-01,2022-10-08
114,REPA0332,Grace Kim,UNIN6038,The Book of Fred : A Novel,Abby Bardi,2022-09-28,2022-10-01,2022-10-08
115,REPA0506,Liam Choi,UNIP0995,The Day Our Teacher Went Batty (Puffin Poetry),Gervase Phinn,2022-09-30,2022-10-01,2022-10-08
116,REPA0356,Ava Kim,UNIQ8064,Hand in Handy.,Hellmuth Karasek,2022-09-30,2022-10-02,2022-10-09
117,REPA0377,Jackson Smith,UNIA4538,Sing Me Home,Jerri Corgiat,2022-10-01,2022-10-02,2022-10-09
118,REPA0169,Grace Dubois,UNIO5983,All the Time We Need (Love Spell),Megan Daniel,2022-10-02,2022-10-02,2022-10-09
119,REPA0159,Sebastian Patel,UNIA1426,Le Divorce (William Abrahams Book),Diane Johnson,2022-10-02,2022-10-02,2022-10-09
120,REPA0353,Hannah García,UNIE9021,EXPO 2000,Charles Burns,2022-10-01,2022-10-02,2022-10-09
121,REPA0243,Elijah Lopez,UNIH1772,SPACE STATION ICE 3 (Space Station Ice-3),Bruce Coville,2022-09-29,2022-10-02,2022-10-09
122,REPA0380,Elijah Cohen,UNIB4872,More Than a Carpenter,Josh Mcdowell,2022-09-29,2022-10-02,2022-10-09
123,REPA0088,Liam Dubois,UNIN1757,Moosewood Cookbook Classics,Mollie Katzen,2022-10-02,2022-10-02,2022-10-09
124,REPA0077,Evelyn Sharma,UNIO0004,An Evening Performance (Voices of the South Series),George Garrett,2022-09-29,2022-10-02,2022-10-09
125,REPA0224,Abigail Tanaka,UNIM6622,ParanoÃ?Â¯a,Cizia Zykã?Â«,2022-09-29,2022-10-02,2022-10-09
126,REPA0156,Henry Müller,UNIV9061,Cooking Light Poultry,Cooking Light Magazine,2022-09-30,2022-10-02,2022-10-09
127,REPA0523,Harper Brown,UNIM8032,1939,David Gelernter,2022-10-02,2022-10-02,2022-10-09
128,REPA0551,Harper Kowalski,UNIR7170,Home--To Avalon,Arthur H. Landis,2022-09-29,2022-10-02,2022-10-09
129,REPA0174,Alexander Novak,UNIR3159,The Lion in the Room Next Door,Merilyn Simonds,2022-10-02,2022-10-02,2022-10-09
130,REPA0154,Lucas Verma,UNIE2000,A Concise History of American Architecture (Icon Editions),Leland M. Roth,2022-10-01,2022-10-03,2022-10-10
131,REPA0550,Ava Dubois,UNIW9889,Four Weddings,Richard Curtis,2022-10-02,2022-10-03,2022-10-10
132,REPA0494,Olivia Dubois,UNIS9688,Mouvar's Magic (Kelvin of Rud),Piers Anthony,2022-09-30,2022-10-03,2022-10-10
133,REPA0357,Abigail Nguyen,UNIC4192,Pearl Stallion (March Madness) (Harlequin Historical No 308),Rae Muir,2022-10-02,2022-10-03,2022-10-10
134,REPA0220,Jackson Rossi,UNIE8558,Avenger (Star Trek: The Original Series),William Shatner,2022-10-02,2022-10-03,2022-10-10
135,REPA0418,Elijah Novak,UNIO7457,The Right Hand of Sleep,John Wray,2022-10-01,2022-10-03,2022-10-10
136,REPA0505,Amelia O'Brien,UNIU8900,The Magic of Obelisks,Peter Tompkins,2022-10-01,2022-10-03,2022-10-10
137,REPA0401,Zoey Kim,UNIC1902,Julie (Julie of the Wolves),Jean Craighead George,2022-10-02,2022-10-03,2022-10-10
138,REPA0383,Mason Patel,UNIK2494,Light the Window: Praying Through the Nations of the 10/40 Window,Floyd Mcclung,2022-09-30,2022-10-03,2022-10-10
139,REPA0069,Lucas Lopez,UNIP9196,Velvet Fire (Heartfire Romance),Elda Minger,2022-10-02,2022-10-03,2022-10-10
140,REPA0444,Alexander Santos,UNIU3278,Writers on World War II: An Anthology,Mordecai Richler,2022-10-02,2022-10-03,2022-10-10
141,REPA0043,Ethan Sharma,UNIJ8820,Ich erinnere mich nicht: Satiren : keine Memoiren,Hugo Wiener,2022-10-02,2022-10-03,2022-10-10
142,REPA0552,Grace O'Brien,UNIJ5610,A Concise History of Germany (Cambridge Concise Histories),Mary Fulbrook,2022-09-30,2022-10-03,2022-10-10
143,REPA0130,Grace Silva,UNII7948,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,2022-10-02,2022-10-03,2022-10-10
144,REPA0378,Harper Paredes,UNIF4267,Upgrading &amp; Fixing PCs for Dummies (For Dummies),Andy Rathbone,2022-10-02,2022-10-04,2022-10-11
145,REPA0139,Mateo Tanaka,UNIK9887,Claire and Present Danger,Gillian Roberts,2022-10-03,2022-10-04,2022-10-11
146,REPA0013,Noah Silva,UNIK3395,Lexicon Devil:  The Fast Times and Short Life of Darby Crash and the Germs,Brendan Mullen,2022-10-02,2022-10-04,2022-10-11
147,REPA0144,Alexander Lopez,UNIL2030,The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Student Edition),Lee Strobel,2022-10-02,2022-10-04,2022-10-11
148,REPA0084,Ava Sharma,UNIS8690,Practicing For Heaven,Julia B. Levine,2022-10-03,2022-10-04,2022-10-11
149,REPA0113,Liam Müller,UNIU6154,Night Action,Peter Dickens,2022-10-04,2022-10-04,2022-10-11
150,REPA0221,Olivia Cohen,UNIU1379,The Night Before Christmas,Clement Clarke Moore,2022-10-01,2022-10-04,2022-10-11
151,REPA0418,Elijah Novak,UNIS1078,Romeo and Juliet,William Shakespeare,2022-10-04,2022-10-04,2022-10-11
152,REPA0348,Isabella Silva,UNIT7615,Love Unveiled (Indigo),Gloria Greene,2022-10-04,2022-10-04,2022-10-11
153,REPA0248,Alexander Nguyen,UNIJ2363,The Golden Strangers,Henry Treece,2022-10-03,2022-10-04,2022-10-11
154,REPA0138,Jackson Sharma,UNIB1913,Plague Dogs,Richard Adams,2022-10-03,2022-10-04,2022-10-11
155,REPA0498,Daniel Haddad,UNID6450,A Crime in the Neighborhood: A Novel,Suzanne Berne,2022-10-02,2022-10-04,2022-10-11
156,REPA0300,Hannah Choi,UNIL3886,Get Lost! the Cool Guide to Amsterdam,Joe Pauker,2022-10-02,2022-10-04,2022-10-11
157,REPA0172,Sophia Johnson,UNIT1919,Westing Game,Ellen Raskin,2022-10-01,2022-10-04,2022-10-11
158,REPA0480,Logan Novak,UNIR5494,Pragmatism,William James,2022-10-03,2022-10-04,2022-10-11
159,REPA0109,Ethan Jensen,UNIV6295,Birth Your Way,Sheila Kitzinger,2022-10-04,2022-10-04,2022-10-11
160,REPA0451,Liam Nguyen,UNIA1242,Men and Brethren,James Gould Cozzens,2022-10-01,2022-10-04,2022-10-11
161,REPA0240,Isabella Santos,UNIC4480,Break and Enter,Colin Harrison,2022-10-03,2022-10-05,2022-10-12
162,REPA0582,Sofia Andersson,UNIO8366,500 Five Minute Games: Quick and Easy Activities for 3-6 Year Olds,Jackie Silberg,2022-10-02,2022-10-05,2022-10-12
163,REPA0510,Emma Lopez,UNIU2325,Visitor's Guide to the Scottish Borders and Edinburgh,Roger Smith,2022-10-03,2022-10-05,2022-10-12
164,REPA0345,Ethan Rossi,UNIL1365,The Last Night I Spent With You : A Novel,Mayra Montero,2022-10-04,2022-10-05,2022-10-12
165,REPA0536,Harper Müller,UNIV5264,Becoming Naomi Leon,Pam Munoz Ryan,2022-10-04,2022-10-05,2022-10-12
166,REPA0506,Liam Choi,UNID3999,The Idiot,Fyodor Dostoevsky,2022-10-02,2022-10-05,2022-10-12
167,REPA0140,Abigail Rossi,UNIB2351,How to Survive Middle School a Humorous Guide to the Wonder Years: A Humorous Guide to the Wonder Years (Get 'em Growing),Rick Bundschuh,2022-10-04,2022-10-05,2022-10-12
168,REPA0141,Mason Lopez,UNIF2360,Mindkiller,Spider Robinson,2022-10-02,2022-10-05,2022-10-12
169,REPA0352,Riley Singh,UNIO5988,Notorious,Kathryn Kramer,2022-10-03,2022-10-05,2022-10-12
170,REPA0104,Noah Tanaka,UNIH0259,Lost and found: The adoption experience,Betty Jean Lifton,2022-10-02,2022-10-05,2022-10-12
171,REPA0212,Mia Baker,UNIB1863,CÃ£es (FicÃ§Ã£o portuguesa),Rui Nunes,2022-10-05,2022-10-05,2022-10-12
172,REPA0133,Aiden Singh,UNIO1947,Taming the Night,Paula Detmer Riggs,2022-10-03,2022-10-05,2022-10-12
173,REPA0292,Harper Cohen,UNIV4163,Emma's Pet,David Mcphail,2022-10-04,2022-10-05,2022-10-12
174,REPA0525,Liam Rossi,UNIU7255,Old New York,Edith Wharton,2022-10-03,2022-10-05,2022-10-12
175,REPA0545,Noah García,UNIN3624,This Must Be Love,Tui T. Sutherland,2022-10-05,2022-10-05,2022-10-12
176,REPA0066,Logan Brown,UNIJ0421,Kevin Trudeau's Mega Memory: How to Release Your Superpower Memory in 30 Minutes or Less a Day,Kevin Trudeau,2022-10-05,2022-10-05,2022-10-12
177,REPA0508,Emma Smith,UNIB0509,Der rote Rock.,Emmanuele Bernheim,2022-10-03,2022-10-05,2022-10-12
178,REPA0493,Grace Santos,UNIL6823,Selected Poems (Penguin Classics),Robert Browning,2022-10-04,2022-10-05,2022-10-12
179,REPA0189,Elijah Lee,UNIM7958,Die Vernichtung der Weisen Frauen: BeitrÃ¤ge zur Theorie und Geschichte von BevÃ¶lkerung und Kindheit,Gunnar Heinsohn,2022-10-03,2022-10-05,2022-10-12
180,REPA0436,Aiden Dubois,UNIL4709,Green Psychology: Transforming our Relationship to the Earth,Ralph Metzner,2022-10-02,2022-10-05,2022-10-12
181,REPA0503,Ethan Smith,UNIM2061,Revenge of Dinosaurs,Tom B. Stone,2022-10-05,2022-10-05,2022-10-12
182,REPA0473,Jackson Dubois,UNIO9006,The Sense of Being Stared At : And Other Unexplained Powers of the Human Mind,Rupert Sheldrake,2022-10-02,2022-10-05,2022-10-12
183,REPA0087,Jackson Nguyen,UNIX0195,The Knight of the Burning Pestle (New Mermaid Ser),Francis Beaumont,2022-10-03,2022-10-05,2022-10-12
184,REPA0179,Emma Cohen,UNIP9978,The Witch's Daughter (Chronicles of Ynis Aielle),R. A. Salvatore,2022-10-05,2022-10-06,2022-10-13
185,REPA0572,Ava Haddad,UNID1783,The Bridal Veil,Alexis Harrington,2022-10-06,2022-10-06,2022-10-13
186,REPA0523,Harper Brown,UNIX0112,Raggedy Ann and Andy and the Five Parties in a Row,Eileen Daly,2022-10-03,2022-10-06,2022-10-13
187,REPA0489,Sophia Marino,UNIC0146,A Dinner to Die for,Susan Dunlap,2022-10-03,2022-10-06,2022-10-13
188,REPA0437,James Choi,UNIF4358,Mantis,Richard La Plante,2022-10-05,2022-10-06,2022-10-13
189,REPA0232,Olivia Brown,UNII4922,Ain't She Sweet? LP,Susan Elizabeth Phillips,2022-10-04,2022-10-06,2022-10-13
190,REPA0293,Olivia Novak,UNIV1554,Pay It Forward,Catherine Ryan Hyde,2022-10-04,2022-10-06,2022-10-13
191,REPA0473,Jackson Dubois,UNIF4441,Longtemps: Roman,Erik Orsenna,2022-10-05,2022-10-06,2022-10-13
192,REPA0390,Isabella Cohen,UNIW1057,Lavender blue,Parris Afton Bonds,2022-10-05,2022-10-06,2022-10-13
193,REPA0499,Evelyn Patel,UNIH4671,Vapor Trail,Chuck Logan,2022-10-04,2022-10-06,2022-10-13
194,REPA0146,Jackson Brown,UNIG5362,Laura,Hilary Norman,2022-10-05,2022-10-06,2022-10-13
195,REPA0455,Sophia Smith,UNII3866,The Prince and the Pooch (The Adventures of Wishbone),Caroline Leavitt,2022-10-04,2022-10-06,2022-10-13
196,REPA0235,Mason Rossi,UNIJ7063,Just Shy of Harmony (Harmony),Philip Gulley,2022-10-06,2022-10-06,2022-10-13
197,REPA0223,Mia Smith,UNIS8876,Vice: New and Selected Poems,Ai,2022-10-03,2022-10-06,2022-10-13
198,REPA0187,Henry Tanaka,UNII2479,Brain Power: Working Out the Human Mind,Susan Greenfield,2022-10-05,2022-10-06,2022-10-13
199,REPA0489,Sophia Marino,UNIT2335,Love Poems,Peter Mcwilliams,2022-10-06,2022-10-06,2022-10-13
